Matriculados 1 Semestre,Matriculados 2 Semestre
312,413
179,144
352,348
211,253
149,99
639,629
213,220
228,245
245,229
133,127
262,264
173,202
326,386
339,340
154,134
276,269
169,152
172,187
235,223
202,180
473,516
150,150
203,211
201,205
201,205
366,371
337,448
232,229
152,123
155,133
154,106
182,156
133,117
211,207
305,320
189,196
157,181
182,189
187,185
296,286
151,229
729,724
145,140
308,308
206,226
127,152
132,51
307,272
126,119
135,119
254,277
358,358
213,224
13548,13370
