Matriculados 1 Semestre, Matriculados 2 Semestre
282,396
156,134
331,324
236,227
172,109
590,606
210,208
230,206
267,221
127,114
261,270
166,188
301,381
304,322
146,134
265,252
181,162
178,156
235,223
203,234
437,421
138,131
198,213
190,205
193,198
340,343
307,329
247,194
117,903
138,147
139,122
147,124
168,136
118,906
6,4
410,433
171,144
152,154
180,133
147,174
147,172
265,244
225,228
173,243
712,711
129,131
299,300
205,230
107,111
170,152
120,145
130,146
129,120
247,239
260,271
160,175

