Matriculados 1 semestre, Matriculados 2 semestre
283,291
155,135
125,149
582,566
223,229
223,211
131,126
267,271
332,346
176,191
274,279
185,168
177,155
433,438
143,149
163,160
201,203
194,194
343,361
399,394
250,253
129,94
140,126
151,130
171,164
6,7
419,399
174,174
182,179
157,159
245,238
749,752
152,125
200,217
119,116
126,109
291,284
129,154
139,133
352,380
165,142
350,366
249,227
313,330
229,196
158,183
296,294
155,155
165,170
217,218
291,306
244,251
237,222
147,121
205,185
112,101
12823,12676
