Nome do Curso;Turno;Matriculados 2022-1;Matriculados 2022-2;Ingressantes 2022-1;Ingressantes 2022-2;Total Ingressantes;Diplomados 2022-1;Diplomados 2021-2;Total Diplomados
Administração (I);I;291;283;41;40;81;10;22;32
Administração (N);N;155;135;35;0;35;5;13;18
Administração Pública;N;149;125;36;0;36;2;9;11
Agronomia;I;582;566;63;31;94;29;34;63
Arquitetura e Urbanismo;I;229;223;23;24;47;12;6;18
Belas Artes;V;211;223;21;20;41;26;11;37
Ciências Agrícolas;I;126;131;19;28;47;4;4;8
Ciências Biológicas;I;267;271;29;17;46;7;6;13
Ciências Econômicas;M;346;332;38;40;78;10;13;23
Ciências Contábeis;N;176;191;44;0;44;16;19;35
Ciências Sociais;V;279;274;26;34;60;11;5;16
Comunicação Social/Jornalismo;N;168;185;39;0;39;6;17;23
Direito;N;177;155;29;0;29;9;9;18
Educação Física;I;433;438;51;57;108;14;16;30
Engenharia Agrícola e Ambiental;I;143;149;18;15;33;4;2;6
Engenharia de Agrimensura e Cartografia;I;160;163;15;22;37;10;6;16
Engenharia de Alimentos;I;201;203;25;26;51;9;15;24
Engenharia de Materiais;I;194;194;27;22;49;9;12;21
Engenharia Florestal;I;343;361;40;27;67;18;9;27
Engenharia Química;I;394;399;40;30;70;24;21;45
Farmácia;I;253;250;27;27;54;15;9;24
Filosofia;N;94;129;28;0;28;8;6;14
Física;I;140;126;5;21;26;2;4;6
Geografia;V;151;130;36;0;36;14;4;18
Geologia;I;164;171;25;0;25;3;5;8
História;N;6;7;0;0;0;0;0;0
História;V;419;399;58;27;85;29;19;48
Hotelaria;N;174;174;25;23;48;6;8;14
Letras - Português;N;182;179;21;22;43;11;9;20
Letras-Português / Inglês;N;157;159;20;16;36;11;11;22
Matemática;I;238;245;43;26;69;8;7;15
Medicina Veterinária;I;749;752;68;66;134;63;43;106
Pedagogia;N;152;125;34;0;34;15;9;24
Psicologia;I;217;200;43;0;43;19;8;27
Química;I;116;119;6;0;6;4;6;10
Química;N;126;109;66;0;66;3;3;6
Relações Internacionais;N;284;291;52;0;52;9;10;19
Serviço Social;I;154;129;33;0;33;7;7;14
Sistemas de Informação;V;133;139;27;0;27;2;4;6
Zootecnia;I;380;352;37;51;88;12;14;26
Educação do Campo;I;165;142;25;16;41;12;4;16
Administração;N;366;350;39;39;78;8;23;31
Ciência da Computação;V;249;227;50;0;50;8;11;19
Ciências Econômicas;N;330;313;34;38;72;11;10;21
Direito;M;196;229;37;0;37;9;11;20
Geografia;M;183;158;40;0;40;8;8;16
História;N;294;296;35;38;73;15;9;24
Letras-Português / Espanhol;M;155;155;19;20;39;7;6;13
Letras-Português;M;165;170;20;20;40;17;15;32
Matemática;N;217;218;33;29;62;8;10;18
Pedagogia;N;306;291;32;34;66;15;13;28
Turismo;N;251;244;27;33;60;1;13;14
Administração;N;222;237;45;0;45;2;7;9
Ciências Econômicas;N;121;147;29;0;29;5;6;11
Direito;N;185;205;32;0;32;10;10;20
Gestão Ambiental;I;101;112;16;0;16;9;4;13
