"Número";"UF";"Município";"Situação";"Tipo de Instrumento";"Objeto";"Órgão Superior";"Órgão/Entidade vinculada";"Concedente";"Convenente";"Data de início da vigência";"Data de fim da vigência";"Data da publicação";"Valor Liberado (R$)";"Valor Celebrado (R$)";
"886960";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS EM ANÁLISE";"Não se aplica";"1 - Digitalizacao do acervo da Literatura do Cordel da ABLC - Academia Brasileira de Literatura de C...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"20/12/2019";"31/12/2021";"07/11/2019";"100.000,00";"100.000,00";
"887016";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS ENVIADA PARA ANÁLISE";"Não se aplica";"Projeto de Pesquisa, Inovacao Tecnologica, Desenvolvimento Institucional, Prestacao de Servicos a So...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"26/12/2019";"26/12/2024";"07/11/2019";"266.957,00";"266.957,00";
"887164";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS EM ANÁLISE";"Não se aplica";"Promover a qualificacao e capacitacao dos Docentes e Tecnicos Administrativos do Instituto Federal d...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"23/12/2019";"14/09/2020";"12/11/2019";"15.000,00";"15.000,00";
"887199";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS EM ANÁLISE";"Não se aplica";"Casa SustentavelComposta Rural";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"26/12/2019";"13/02/2021";"13/11/2019";"36.000,00";"36.000,00";
"887203";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS ENVIADA PARA ANÁLISE";"Não se aplica";"Qualificar 25 (vinte e cinco) servidores publicos, entre docentes gestores e tecnicos-administrativo...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"26/12/2019";"01/04/2024";"12/11/2019";"864.000,00";"864.000,00";
"902504";"RJ";"SEROPÉDICA";"AGUARDANDO PRESTAÇÃO DE CONTAS";"Não se aplica";"Projeto de extensao universitaria intitulado A gente se ve na Lona, que consiste em exibicao periodi...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"29/10/2020";"30/06/2025";"10/09/2020";"300.000,00";"300.000,00";
"905962";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS ENVIADA PARA ANÁLISE";"Não se aplica";"Introducao: O Projeto trabalha com o esporte educacional e seu publico alvo e composto por jovens da...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"28/12/2020";"01/04/2024";"24/03/2021";"147.376,41";"147.376,41";
"907803";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS ENVIADA PARA ANÁLISE";"Não se aplica";"Baixada Social e um projeto voltado ao esporte educacional, nos termos do art. 4o, inciso I, do Decr...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"28/12/2020";"01/04/2024";"25/03/2021";"123.510,00";"123.510,00";
"920219";"RJ";"SEROPÉDICA";"PRESTAÇÃO DE CONTAS ENVIADA PARA ANÁLISE";"Não se aplica";"Qualificar 25 (vinte) servidores publicos, entre docentes gestores e tecnicos-administrativos, integ...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"10/12/2021";"09/12/2024";"20/12/2021";"864.000,00";"864.000,00";
"920429";"RJ";"SEROPÉDICA";"EM EXECUÇÃO";"Não se aplica";"Qualificar 20 (vinte) servidores publicos, entre docentes gestores e tecnicos-administrativos, integ...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"10/12/2021";"10/10/2025";"20/12/2021";"864.000,00";"864.000,00";
"920677";"RJ";"SEROPÉDICA";"EM EXECUÇÃO";"Não se aplica";"Qualificar servidores publicos, entre docentes gestores e tecnicos-administrativos, integrantes do q...";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"FUNDACAO DE APOIO A PESQ. CIENTIF. TECN. DA UFRRJ";"10/12/2021";"10/12/2025";"28/12/2021";"864.000,00";"864.000,00";
