"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"11/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"32.866.157,96";"73.163.502,61";"61.795.673,98";"1.429.914,52";
"04/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"8.347.715,13";"51.084.584,45";"50.912.755,05";"853.003,43";
"02/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"21.017.345,66";"49.238.240,01";"52.800.254,75";"2.638.550,40";
"10/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"1.172.963,77";"52.868.337,50";"52.868.625,93";"3.352.993,77";
"05/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"4.386.821,47";"51.559.669,18";"52.248.381,17";"1.300.108,02";
"06/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"54.466.062,10";"64.716.876,67";"51.530.168,74";"528.218,20";
"08/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"651.625,08";"52.327.233,34";"51.544.562,67";"2.293.656,57";
"09/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"1.356.697,67";"51.254.796,10";"51.417.488,77";"1.061.321,69";
"01/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"556.899.334,96";"47.937.110,42";"9.362.037,07";"55.660.660,64";
"03/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"6.137.977,56";"50.557.446,01";"49.860.383,41";"3.710.370,82";
"12/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"5.117.065,78";"76.058.712,64";"66.635.416,94";"538.063,68";
"07/2020";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"18.170.195,08";"51.476.027,93";"64.531.689,88";"1.544.354,55";
