"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"15.733.120,71";"69.881.655,10";"64.439.431,56";"5.080.047,99";
"11/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"9.155.985,89";"86.228.095,31";"65.772.638,36";"2.367.840,19";
"10/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"7.433.600,79";"61.022.709,37";"60.487.664,09";"1.520.144,08";
"04/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"2.492.590,46";"55.840.056,15";"57.567.917,25";"6.065.330,94";
"01/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"687.926.754,84";"46.004.730,89";"10.109.346,05";"60.507.106,34";
"07/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"4.057.115,82";"60.989.700,71";"74.883.402,77";"2.137.456,88";
"05/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"7.090.557,90";"61.278.294,99";"50.877.687,90";"1.159.476,64";
"06/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"4.533.942,27";"79.150.086,68";"63.397.931,63";"2.886.485,63";
"03/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"557.825,04";"55.102.167,54";"57.454.382,07";"3.128.037,36";
"09/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"5.377.106,48";"60.722.490,06";"60.028.415,07";"1.639.914,58";
"12/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"33.260.917,51";"85.040.392,87";"89.861.319,01";"1.142.404,52";
"08/2023";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"57.474.023,33";"63.051.222,02";"64.934.254,80";"1.780.397,99";
