"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"22/06/2020";"31/03/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Empenho";"00018/2020";"Objeto: Pregão Eletrônico -  Aquisição de hortifruti.";
"04/11/2020";"27/10/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00041/2020";"Objeto: Pregão Eletrônico -  Recuperação dos telhados do Pavilhão Central (P1) e Biblioteca Central e áreas afetadas no Campus Seropédica da UFRRJ.";
"30/12/2020";"16/12/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Empenho";"00004/2020";"Objeto: Aquisição de materiais hospitalares (Grupo 30.36).";
"29/12/2020";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Dispensa de Licitação";"Empenho";"00005/2020";"Objeto: Aquisição de alimentos para animais.";
"17/06/2020";"06/05/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00012/2020";"Objeto: Pregão Eletrônico -  Aquisição de Material de Artes Gráficas";
"22/12/2020";"15/12/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00035/2020";"Objeto: Pregão Eletrônico -  Aquisição de material farmacológico.";
"15/05/2020";"27/04/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00022/2020";"Objeto: Pregão Eletrônico -  Aquisição de combustíveis e lubrificantes.";
"17/02/2020";"14/02/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00013/2020";"Objeto: Pregão Eletrônico -  Aquisição de Gás Liquefeito de Petróleo - GLP";
"23/12/2020";"23/12/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00037/2020";"Objeto: Pregão Eletrônico -  Aquisição de colchões.";
"26/06/2020";"21/05/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00033/2020";"Objeto: Pregão Eletrônico -  Aquisição de material de expediente.";
"29/01/2020";"27/01/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Empenho";"00002/2020";"Objeto: Pregão Eletrônico -  Aquisição de coletores para lixo.";
"03/04/2020";"30/03/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00011/2020";"Objeto: Pregão Eletrônico -  Aquisição de material químico para piscinas.";
"05/06/2020";"02/04/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Alteração Publicado";"Pregão";"Contrato";"00005/2020";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviço continuado de apoio administrativo e operacional para atender ao Campus de Nova Iguaçu da UFRRJ.";
"03/09/2020";"14/08/2020";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00040/2020";"Objeto: Pregão Eletrônico -  Aquisição de animais para pesquisa e abate.";
"02/10/2020";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Empenho";"00002/2020";"Objeto: Contratação de empresa especializada na disponibilização de acesso a um banco de dados.";
