"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"BRASIDAS EIRELI - ME";"20.483.193/0001-96";"BLUMENAU";"42220220483193000196550010000184371204831930";"0,00";"08/02/2022";"18437";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"BRASIDAS EIRELI - ME";"20.483.193/0001-96";"BLUMENAU";"42220220483193000196550010000184381204831937";"0,00";"08/02/2022";"18438";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"BRASIDAS EIRELI - ME";"20.483.193/0001-96";"BLUMENAU";"42220220483193000196550010000184421204831930";"0,00";"08/02/2022";"18442";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"FORTE TEXTIL 25 LTDA ME";"04.117.525/0001-62";"RIO DE JANEIRO";"33220704117525000162550010000007691036822302";"0,00";"05/07/2022";"769";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL DE ALAGOAS";"24.464.109/0001-48";"MACEIÓ";"27220912200192000169558900061675411299966368";"0,00";"13/09/2022";"6167541";"890";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"BR INCORPORATION LTDA";"45.461.989/0001-79";"GOIANIA";"52230645461989000179550010000001381562132353";"0,00";"13/06/2023";"138";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL DE ALAGOAS";"24.464.109/0001-48";"MACEIÓ";"27231112200192000169558900078211161373823740";"0,00";"07/11/2023";"7821116";"890";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"PETROLEO BRASILEIRO S.A.";"33.000.167/0147-57";"CUBATAO";"35220533000167014757550610000545341365017403";"0,01";"02/05/2022";"54534";"61";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AMEC VEICULOS LTDA";"03.633.563/0001-05";"RIO DE JANEIRO";"33230303633563000105550030000865941387263523";"0,01";"17/03/2023";"86594";"3";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AMEC VEICULOS LTDA";"03.633.563/0001-05";"RIO DE JANEIRO";"33230303633563000105550030000866871553405400";"0,01";"28/03/2023";"86687";"3";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AMEC VEICULOS LTDA";"03.633.563/0001-05";"RIO DE JANEIRO";"33230303633563000105550030000866961711076479";"0,01";"28/03/2023";"86696";"3";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AMEC VEICULOS LTDA";"03.633.563/0001-05";"RIO DE JANEIRO";"33230303633563000105550030000866381374898351";"0,01";"23/03/2023";"86638";"3";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"L A S SOUZA ARTIGOS DO COMERCIO LTDA";"36.542.553/0001-13";"RIO DE JANEIRO";"33231136542553000113550010000000821546013820";"0,02";"30/11/2023";"82";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"NOVA MESA COMERCIO DE UTILIDADES E ALIMENTOS LTDA";"47.170.510/0001-70";"FORTALEZA";"23230647170510000170550010000011831000012243";"0,03";"16/06/2023";"1183";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"SEROPEC SHOPPING RURAL LTDA";"06.347.830/0002-57";"SEROPEDICA";"33220906347830000257550010009736441011020547";"0,04";"15/09/2022";"973644";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AGRISTAR DO BRASIL LTDA";"33.345.950/0001-07";"SANTO ANTONIO DE POSSE";"35220533345950000107550010000214761770442383";"0,05";"16/05/2022";"21476";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"SAO FRANCISCO CITRUS LTDA";"00.220.009/0001-08";"JAPOATA";"28240800220009000108550010000338801928353711";"0,05";"13/08/2024";"33880";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"SAO FRANCISCO CITRUS LTDA";"00.220.009/0001-08";"JAPOATA";"28240800220009000108550010000338791961180293";"0,05";"13/08/2024";"33879";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AGRISTAR DO BRASIL LTDA";"33.345.950/0001-07";"SANTO ANTONIO DE POSSE";"35220533345950000107550010000215371674105050";"0,07";"19/05/2022";"21537";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"DIATHEKE INDUSTRIA E COMERCIO LTDA ME";"04.113.609/0001-28";"CAMBUCI";"33220204113609000128550010000004241000000906";"0,10";"10/02/2022";"424";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AGRISTAR DO BRASIL LTDA";"33.345.950/0001-07";"SANTO ANTONIO DE POSSE";"35220633345950000107550010000224581766446574";"0,12";"24/06/2022";"22458";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AGRISTAR DO BRASIL LTDA";"33.345.950/0001-07";"SANTO ANTONIO DE POSSE";"35220633345950000107550010000221491175741471";"0,24";"10/06/2022";"22149";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AGRISTAR DO BRASIL LTDA";"33.345.950/0001-07";"SANTO ANTONIO DE POSSE";"35220633345950000107550010000219281545267255";"0,31";"02/06/2022";"21928";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AGRISTAR DO BRASIL LTDA";"33.345.950/0001-07";"SANTO ANTONIO DE POSSE";"35220633345950000107550010000225511648611715";"0,50";"29/06/2022";"22551";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"FUNDACAO DE APOIO INST. AO DESENV. CIENT. E TECNOLOGICO";"66.991.647/0004-83";"ARARAS";"35240366991647000483550010000010951754858130";"0,50";"20/03/2024";"1095";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"A G DE LIMA LTDA";"49.828.977/0001-90";"CAPITAO POCO";"15240749828977000190550010000007361766921289";"0,50";"12/07/2024";"736";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"COMERCIAL E EXPORTADORA DE FRUTAS DON VICENTE LTDA";"24.754.713/0001-09";"ITAJOBI";"35240724754713000109550010000020781117102900";"0,50";"29/07/2024";"2078";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"AGRISTAR DO BRASIL LTDA";"33.345.950/0001-07";"SANTO ANTONIO DE POSSE";"35221233345950000107550010000274271617702247";"0,60";"23/12/2022";"27427";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"IBRAC IND. BRAS.DE ADITIVOS E CONDIMENTOS LTDA.";"56.387.632/0004-57";"RIO CLARO";"35220856387632000457550010001034631378531377";"0,65";"25/08/2022";"103463";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"MEDIC LIFE";"31.030.858/0001-22";"TURVO";"42220531030858000122550010000011311252341402";"0,78";"27/05/2022";"1131";"1";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"FRANCHINI COMERCIO DE CAFE LTDA";"36.939.275/0001-32";"BARIRI";"35220536939275000132550010000022871048126060";"1,00";"06/05/2022";"2287";"1";
